Date,Price,Open,High,Low,Vol.,Change %
2018-10-04,5.22,5.25,5.26,5.20,5.98M,-0.19%
2018-10-03,5.23,5.28,5.28,5.19,2.26M,-0.38%
2018-10-02,5.25,5.21,5.28,5.21,3.30M,0.77%
2018-10-01,5.21,5.28,5.31,5.21,4.97M,-1.14%
2018-09-28,5.27,5.31,5.32,5.27,18.52M,-0.75%
2018-09-27,5.31,5.30,5.32,5.27,3.02M,0.19%
2018-09-26,5.30,5.22,5.40,5.22,1.79M,0.57%
2018-09-25,5.27,5.28,5.28,5.24,519.30K,-0.19%
2018-09-24,5.28,5.22,5.29,5.21,324.80K,-0.94%
2018-09-21,5.33,5.37,5.38,5.27,7.79M,0.76%
2018-09-20,5.29,5.31,5.35,5.26,5.10M,0.38%
2018-09-19,5.27,5.20,5.32,5.20,4.19M,1.35%
2018-09-18,5.20,5.20,5.23,5.14,1.64M,-0.95%
2018-09-14,5.25,5.17,5.26,5.17,3.63M,1.55%
2018-09-13,5.17,5.15,5.23,5.13,2.45M,0.39%
2018-09-12,5.15,5.38,5.40,5.10,3.41M,-1.72%
2018-09-07,5.24,5.16,5.24,5.11,4.60M,0.19%
2018-09-06,5.23,5.21,5.23,5.14,1.48M,0.97%
2018-09-05,5.18,5.16,5.18,5.11,3.73M,-0.38%
2018-09-04,5.20,5.20,5.22,5.17,3.44M,0.00%
2018-09-03,5.20,5.26,5.27,5.17,755.50K,-1.89%
2018-08-30,5.30,5.30,5.31,5.20,6.62M,0.38%
2018-08-29,5.28,5.24,5.28,5.19,2.95M,0.76%
2018-08-28,5.24,5.14,5.24,5.13,1.69M,1.95%
2018-08-27,5.14,5.28,5.28,5.14,2.77M,-2.65%
2018-08-24,5.28,5.29,5.29,5.20,1.06M,0.19%
2018-08-23,5.27,5.26,5.27,5.22,4.39M,1.74%
2018-08-21,5.18,5.13,5.27,5.12,3.04M,1.37%
2018-08-20,5.11,5.17,5.18,5.11,1.83M,-1.35%
2018-08-17,5.18,5.10,5.19,5.09,2.64M,1.57%
2018-08-16,5.10,5.12,5.15,5.09,775.20K,-0.39%
2018-08-15,5.12,5.24,5.24,5.12,2.61M,-1.35%
2018-08-14,5.19,5.14,5.24,5.14,1.84M,0.78%
2018-08-13,5.15,5.24,5.31,5.14,738.70K,-3.01%
2018-08-10,5.31,5.32,5.34,5.27,7.94M,0.57%
2018-08-09,5.28,5.23,5.29,5.23,2.89M,0.57%
2018-08-08,5.25,5.28,5.32,5.24,6.24M,-0.57%
2018-08-07,5.28,5.28,5.28,5.24,3.50M,0.57%
2018-08-06,5.25,5.24,5.27,5.20,1.90M,0.96%
2018-08-03,5.20,5.13,5.27,5.11,3.26M,1.56%
